Test ID,Test Case Name,Description,Test Type,Priority,Category,User Story,Acceptance Criteria,Steps,Expected Results,Notes
TC_1705_023,Boundary - Callback Provision Toggle,Verify system correctly differentiates between callback and no-callback form variants when selecting multiple.,Boundary,Medium,Form Variants,1705,"Form variants: Callback and non-callback forms selectable independently","1. Login to EZDocs
2. Open submission
3. Add ZC 10827 U 0126 (no callback)
4. Add ZC 10828 U 0126 (with callback)
5. Verify each form displays correct provision
6. Save both","1. Both forms add successfully
2. No callback form shows standard terms
3. Callback form displays provision clause
4. Forms remain independent
5. Each form displays correctly",Variant handling
TC_1705_024,Integration - Crime Form Complete Flow,Verify complete workflow for Crime Fraudulent Impersonation forms from entry to quote to document.,Integration,High,Workflow,1705,"Complete crime form flow: Entry → Quote → Document","1. Login to EZDocs
2. Navigate to Financial Lines > Crime
3. Add ZC 10827 U 0126
4. Fill: Item 2=$100,000 CAD, Item 4=$10,000 CAD
5. Add ZC 10828 U 0126
6. Fill: Item 2=$200,000 CAD, Item 4=$20,000 CAD
7. Create quote
8. Preview in English and French
9. Create binder and policy","1. Both forms add successfully
2. All data entered correctly
3. Quote generates with both forms
4. English preview shows items in English
5. French preview shows French translations
6. Binder preserves all data
7. Policy document includes both endorsements",Crime workflow
TC_1705_025,Integration - PCL Form Complete Flow,Verify complete workflow for PCL Fraudulent Impersonation forms from entry to document generation.,Integration,High,Workflow,1705,"Complete PCL form flow: Entry → Quote → Document","1. Login to EZDocs
2. Navigate to Financial Lines > Private Company Select
3. Add ZC-PCL-11743 U 1225
4. Fill: Limit=$150,000 CAD, Deductible=$15,000 CAD
5. Add ZC-PCL-11744 U 1225
6. Fill: Limit=$250,000 CAD, Deductible=$25,000 CAD
7. Create quote
8. Preview in both English and French
9. Create binder
10. Create policy","1. Forms add and fill successfully
2. All values save correctly
3. Quote includes both forms
4. English preview shows correct terminology
5. French preview in French
6. Binder contains both forms
7. Policy generated with all data",PCL workflow
TC_1705_026,Integration - Crime and PCL Mixed Submission,Verify system allows Crime and PCL forms in same submission (if business logic permits).,Integration,Medium,Multi-Product,1705,"Mixed products: Crime and PCL forms can coexist if allowed","1. Login to EZDocs
2. IF business allows: Navigate Financial Lines
3. Create submission allowing both Crime and PCL
4. Add ZC 10827 U 0126 (Crime)
5. Add ZC-PCL-11743 U 1225 (PCL)
6. Fill both forms
7. Create quote
8. Preview document","1. Both forms add (or error if not allowed)
2. If allowed: forms coexist without conflict
3. Quote includes both
4. Document shows both forms distinctly
5. Currency formatting correct for each
6. Data integrity maintained",Business rule dependent
TC_1705_027,Multilingual - Crime English to French Preview,Verify crime form switches correctly from English to French preview.,Positive,High,Localization,1705,"Language switch: Crime forms preview in English and French","1. Login to EZDocs
2. Add Crime form ZC 10827 U 0126
3. Fill Item 2 and Item 4
4. Create quote
5. Preview in English
6. Switch to French preview
7. Switch back to English","1. English preview shows English labels and values
2. French preview shows French labels
3. Values preserve in both language versions
4. Switch is instantaneous
5. Both versions contain all data",Language switching
TC_1705_028,Multilingual - PCL English to French Preview,Verify PCL form switches correctly from English to French preview.,Positive,High,Localization,1705,"Language switch: PCL forms preview in English and French","1. Login to EZDocs
2. Add PCL form ZC-PCL-11743 U 1225
3. Fill Limit and Deductible
4. Create quote
5. Click Preview
6. Toggle English ↔ French
7. Verify content in each language","1. English preview clear and complete
2. French preview in French language
3. CAD designation maintained in both
4. All field labels translated
5. No data loss on switch",PCL language preview
TC_1817_001,Send for Booking Button Visibility,Verify Send for Booking button is visible on Binder tab for automated booking LOBs.,Positive,High,Button Availability,1817,"Send for Booking button visible on Binder tab","1. Login to EZDocs
2. Navigate to Financial Lines - Public Select LOB
3. Create submission
4. Fill forms and create binder
5. Go to Binder tab
6. Observe button area","1. Send for Booking button displays
2. Button placed prominently on Binder tab
3. Reference icon visible
4. Button has consistent styling
5. Button label clear and readable",Feature visibility
TC_1817_002,Send for Booking Button State on Binder Tab,Verify Send for Booking button is enabled and clickable when binder is in active state.,Positive,High,Button Functionality,1817,"Send for Booking button enabled on active Binder","1. Login to EZDocs
2. Create binder for Public Select submission
3. Navigate to Binder tab
4. Observe Send for Booking button state
5. Attempt to click button
6. System should proceed to booking","1. Button is enabled (not greyed out)
2. Button is clickable without errors
3. Click action recognized by system
4. Booking process initiated
5. No error messages on click",Button enablement
TC_1817_003,Send for Booking Click Action,Verify clicking Send for Booking button initiates booking process.,Positive,High,Business Function,1817,"Send for Booking action: Initiates booking workflow","1. Login to EZDocs
2. Create active binder for Financial Lines - Public Select
3. On Binder tab, click Send for Booking button
4. Observe system response
5. Check booking status","1. Click registers successfully
2. System shows loading state
3. Booking process initiated (connects to ZIP/ODS)
4. Confirmation message displayed
5. System prevents duplicate sends",Booking initiation
TC_1817_004,Send for Booking Disabled on Policy Tab,Verify Send for Booking button is disabled/hidden when moved to Policy tab.,Positive,High,Button State,1817,"Send for Booking disabled after policy creation","1. Login to EZDocs
2. Create binder with Send for Booking sent
3. Proceed to Policy tab
4. Create policy
5. Check Send for Booking button state
6. Attempt to click if visible","1. Button is greyed out or hidden
2. Button is no longer clickable
3. Hover shows tooltip: 'Policy already issued'
4. No booking action possible post-policy
5. User cannot resend booking",Policy stage restriction
TC_1817_005,Umbrella LOB - Send for Booking Hidden,Verify Send for Booking button is hidden for Umbrella LOB (per requirements: Umbrella - Hide).,Positive,High,LOB Configuration,1817,"Umbrella LOB: Send for Booking hidden","1. Login to EZDocs
2. Navigate to Umbrella LOB
3. Create submission and binder
4. Go to Binder tab
5. Observe button area
6. Search for Send for Booking button","1. Send for Booking button NOT visible
2. Button area is blank or contains different action
3. No button element in DOM
4. Umbrella functionality unaffected
5. Other tabs work normally",Umbrella exclusion
TC_1817_006,Excess LOB - Send for Booking Hidden,Verify Send for Booking button is hidden for Excess LOB (per requirements: Excess - Hide).,Positive,High,LOB Configuration,1817,"Excess LOB: Send for Booking hidden","1. Login to EZDocs
2. Navigate to Excess LOB (e.g., Excess Select)
3. Create submission and binder
4. Go to Binder tab
5. Look for Send for Booking button
6. Verify absence of button","1. Send for Booking button NOT visible on Binder
2. Button area is empty
3. No booking option for Excess
4. System functions normally otherwise
5. Policy creation still available",Excess exclusion
TC_1817_007,Financial Lines Public Select - Send for Booking Visible,Verify Send for Booking is visible and enabled for Financial Lines - Public Select (LOB in automated booking list).,Positive,High,LOB Configuration,1817,"Financial Lines - Public Select: Send for Booking enabled","1. Login to EZDocs
2. Navigate to Financial Lines > Public Select
3. Create submission with endorsements
4. Create binder
5. Go to Binder tab
6. Verify Send for Booking button","1. Button is visible on Binder tab
2. Button is enabled and clickable
3. Clicking initiates booking
4. Confirmation received
5. Booking status tracked",Public Select enabled
TC_1817_008,General Property Domestic - Send for Booking Visible,Verify Send for Booking is visible for General Property - Domestic (in automated booking list).,Positive,High,LOB Configuration,1817,"General Property - Domestic: Send for Booking enabled","1. Login to EZDocs
2. Navigate to General Property > Domestic
3. Create submission
4. Create binder
5. Go to Binder tab
6. Verify button visibility and function","1. Send for Booking button visible
2. Button enabled on active binder
3. Booking process functional
4. Status updates appropriately
5. Integration with backend works",Gen Property Domestic
TC_1817_009,General Liability Domestic - Send for Booking Visible,Verify Send for Booking is visible for General Liability - Domestic.,Positive,High,LOB Configuration,1817,"General Liability - Domestic: Send for Booking enabled","1. Login to EZDocs
2. Navigate to General Liability > Domestic
3. Create submission
4. Create binder
5. On Binder tab, locate Send for Booking
6. Verify button state and function","1. Button visible on Binder tab
2. Button is enabled
3. Click action works
4. Booking initiated
5. System receives booking request",Gen Liability enabled
TC_1817_010,Received Property - Send for Booking on Policy Tab,Verify Send for Booking button for Received Property displays on Policy tab (not Binder tab).,Positive,High,LOB Configuration,1817,"Received Property: Send for Booking on Policy tab","1. Login to EZDocs
2. Navigate to Received Property
3. Create submission and binder
4. On Binder tab, verify Send for Booking button
5. Navigate to Policy tab
6. Verify Send for Booking button visible on Policy tab","1. Binder tab: Send for Booking not visible
2. Policy tab: Send for Booking button visible
3. Policy tab button is enabled
4. Clicking on Policy tab initiates booking
5. Button placement follows specification",Received Property variant
TC_1817_011,Energy Property Domestic - Send for Booking on Policy Tab,Verify Send for Booking button for Energy Property - Domestic displays on Policy tab.,Positive,High,LOB Configuration,1817,"Energy Property - Domestic: Send for Booking on Policy tab","1. Login to EZDocs
2. Navigate to Energy Property > Domestic
3. Create submission and binder
4. On Binder tab, check for Send for Booking
5. Go to Policy tab
6. Verify button on Policy tab","1. Binder tab: No Send for Booking button
2. Policy tab: Send for Booking visible
3. Button is enabled on Policy tab
4. Clicking sends for booking
5. Status updated appropriately",Energy Property variant
TC_1817_012,Received Liability - Send for Booking on Policy Tab,Verify Send for Booking button for Received Liability displays on Policy tab.,Positive,High,LOB Configuration,1817,"Received Liability: Send for Booking on Policy tab","1. Login to EZDocs
2. Navigate to Received Liability
3. Create submission and binder
4. Binder tab: check for button
5. Navigate to Policy tab
6. Verify Send for Booking visible","1. Binder tab: button not present
2. Policy tab: button visible
3. Button is enabled
4. Click sends for booking
5. Confirmation received",Received Liability variant
TC_1817_013,Negative - Send for Booking Duplicate Prevention,Verify system prevents duplicate Send for Booking requests for same submission.,Negative,High,Data Integrity,1817,"Duplicate prevention: Cannot send booking twice for same submission","1. Login to EZDocs
2. Create active binder for Public Select
3. Click Send for Booking
4. Receive confirmation
5. Immediately click Send for Booking again
6. Observe system response","1. First send succeeds
2. Second click either disabled or shows warning
3. Warning: 'Already sent for booking'
4. System prevents duplicate ZIP submission
5. ODS check prevents duplicate processing",Duplicate handling
TC_1817_014,Negative - Send for Booking Without Required Fields,Verify Send for Booking fails if required submission fields are incomplete.,Negative,Medium,Business Logic,1817,"Validation: Required fields must be complete before Send for Booking","1. Login to EZDocs
2. Create incomplete submission (missing required fields)
3. Create binder anyway (if system allows)
4. Try to click Send for Booking
5. Observe validation behavior","1. Send for Booking button disabled
2. Tooltip or message: 'Complete all required fields'
3. System prevents booking submission
4. User must complete fields first
5. Button enabled after fields filled",Required field validation
TC_1817_015,Negative - Send for Booking on Cancelled Binder,Verify Send for Booking is unavailable on cancelled or rejected binders.,Negative,Medium,State Validation,1817,"Cancelled binder: Send for Booking not available","1. Login to EZDocs
2. Create binder
3. Cancel or reject the binder
4. Check Binder tab
5. Attempt to send for booking","1. Send for Booking button hidden or disabled
2. Message: 'Cannot send cancelled binder'
3. Button state reflects binder status
4. No booking request sent
5. System respects binder lifecycle",Binder state validation
TC_1817_016,Integration - Binder to Booking to Policy,Verify complete flow from Binder creation through Send for Booking to Policy generation.,Integration,High,Workflow,1817,"Complete booking flow: Binder → Send for Booking → Policy","1. Login to EZDocs
2. Navigate to Financial Lines - Public Select
3. Create submission with forms
4. Create binder
5. On Binder tab, click Send for Booking
6. Confirm booking sent
7. Navigate to Policy tab
8. Create policy
9. Verify Send for Booking disabled on Policy","1. Binder created successfully
2. Send for Booking available on Binder tab
3. Click sends booking to ZIP system
4. Confirmation message displayed
5. Policy can be created
6. Send for Booking becomes unavailable on Policy tab
7. System logs booking transaction",E2E booking workflow
TC_1817_017,Integration - Send for Booking with Multiple Endorsements,Verify Send for Booking works correctly when binder contains multiple endorsement forms.,Integration,High,Multi-Form Booking,1817,"Multiple endorsements: Send for Booking includes all forms","1. Login to EZDocs
2. Create Public Select submission
3. Add multiple endorsement forms and fill
4. Create binder
5. On Binder tab, click Send for Booking
6. Verify all forms included in booking","1. All endorsement forms persist to binder
2. Send for Booking button functional with multiple forms
3. Booking request sent successfully
4. All form data included in ZIP submission
5. Backend processes all forms correctly",Multi-form booking
TC_1817_018,Integration - Rescinded Policy Send for Booking Button Removal,Verify Send for Booking button is removed after policy is rescinded and renewed.,Integration,Medium,Policy Lifecycle,1817,"Rescinded/Renewed: Send for Booking button removed after lifecycle","1. Login to EZDocs
2. Create policy for Public Select
3. Perform booking (if already in policy)
4. Rescind policy
5. Renew policy
6. On new policy, check Send for Booking
7. Create new binder for renewal
8. Verify button state","1. Original policy: booking completed
2. Rescinded policy: button unavailable
3. Renewed policy binder: button available if needed
4. No stale booking buttons
5. System lifecycle properly reflected",Rescind/renew handling
TC_1817_019,Boundary - Send for Booking Response Time,Verify Send for Booking completes within acceptable timeout (e.g., 30 seconds).,Boundary,Medium,Performance,1817,"Performance: Booking completes within timeout","1. Login to EZDocs
2. Create binder for Public Select
3. Click Send for Booking
4. Measure response time
5. Observe system feedback
6. Note timeout behavior if applicable","1. Booking confirmation received within 30 seconds
2. Loading indicator shown during processing
3. Confirmation message displays on success
4. Error message if timeout
5. System handles connection issues gracefully",Performance requirement
TC_1817_020,Boundary - Send for Booking Concurrent Requests,Verify system handles concurrent Send for Booking requests from multiple users correctly.,Boundary,Medium,Concurrency,1817,"Concurrency: System handles multiple simultaneous booking requests","1. Simulate multiple users
2. User 1: Create binder, click Send for Booking
3. User 2: Create different binder, click Send for Booking simultaneously
4. Observe system behavior
5. Verify no conflicts","1. Both requests processed independently
2. No cross-submission data mixing
3. Each user receives correct confirmation
4. ZIP backend receives both bookings
5. ODS duplicate check works correctly",Concurrent handling
